Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,"Dublin, L, IE","Dublin, L, IE",09/03/2015,57.3,48.4,52.5,45,,,,14.2,,89.8,79.5,Overcast
,"Dublin, L, IE","Dublin, L, IE",09/04/2015,61.3,50.6,54.9,,,,,13.8,,90.7,81.88,Overcast
,"Dublin, L, IE","Dublin, L, IE",09/05/2015,60.7,47,54,45.6,,,,12.5,,61.5,76.08,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/06/2015,57.3,41.9,50.5,39.7,,,,5,,77.7,84.77,Overcast
,"Dublin, L, IE","Dublin, L, IE",09/07/2015,56.5,51.7,53.7,,,,,4.5,,88.2,77.31,Overcast
,"Dublin, L, IE","Dublin, L, IE",09/08/2015,66.8,51.4,57.5,,,,,18.3,,55.4,75.84,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/09/2015,63.8,53.2,57.5,,,,,17,,70.3,80.93,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/10/2015,65.9,52.4,58.7,,,,,18.3,,48.9,81.97,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/11/2015,59.9,55.9,58,,,0.5,,16.9,,89.2,90.63,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",09/12/2015,59.3,49.9,54.1,47.2,,0.1,,17,,66.8,80.42,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",09/13/2015,59.1,48.3,53.7,45.4,,0.1,,14.3,,69.3,87.99,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",09/14/2015,53.8,49.5,51.3,45.9,,0.4,,9.3,,90.7,93.85,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",09/15/2015,59.2,46.6,52.3,44,,,,8.5,,63.7,88.59,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/16/2015,56.6,42.4,49.5,39.1,,,,7,,54.7,85.54,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/17/2015,62.1,45.5,53.3,42.9,,,,7.7,,62.8,86.8,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/18/2015,60.3,52.7,55.8,,,0.1,,9.5,,84,86.47,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",09/19/2015,60.1,48.6,54.9,48.4,,,,8.3,,83.7,85.12,Overcast
,"Dublin, L, IE","Dublin, L, IE",09/20/2015,58.5,54.2,56.2,,,0.3,,14,,89.2,89.76,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",09/21/2015,59.9,48,53.5,43.8,,0.2,,13.7,,67.3,88.2,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",09/22/2015,58.7,46.3,51.5,43,,,,15,,48.6,82.45,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/23/2015,59.7,48.2,53.6,45.4,,,,17.7,,77.6,85.72,Overcast
,"Dublin, L, IE","Dublin, L, IE",09/24/2015,57.3,47.3,51.3,43,,0.1,,23,,61.9,84,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",09/25/2015,58.7,46,53.2,43.1,,,,10.5,,67.6,82.46,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/26/2015,61.2,49.1,54.7,46.8,,,,13.8,,57.2,80.53,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/27/2015,62.1,48.6,54.3,45.3,,,,16,,17.6,81.84,Clear
,"Dublin, L, IE","Dublin, L, IE",09/28/2015,62.8,48.1,54.6,44.8,,,,20,,12,82.2,Clear
,"Dublin, L, IE","Dublin, L, IE",09/29/2015,61.8,47,54.1,44,,,,10,,30.8,84.66,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",09/30/2015,62,43.2,50.7,41.9,,,,11,,18.3,89.19,Clear
,"Dublin, L, IE","Dublin, L, IE",10/01/2015,62.7,40.9,49.7,41.8,,,,6.4,,20.1,92.06,Clear
,"Dublin, L, IE","Dublin, L, IE",10/02/2015,51.4,42,47,41.4,,,,5.3,,51.8,94.27,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/03/2015,51.6,42.3,47.9,43.6,,,,4.8,,80,82.17,Overcast
,"Dublin, L, IE","Dublin, L, IE",10/04/2015,57.8,42.1,50.9,39.7,,,,14.7,,66.2,82.9,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/05/2015,60.2,52.4,56.4,,,0.2,,13.3,,89.1,91.6,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",10/06/2015,61.5,47.7,55.4,44.4,,0.3,,18,,56.6,91.03,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",10/07/2015,57.4,43.1,49.6,39.8,,,,11.5,,29.6,84.49,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/08/2015,58.3,44.1,51.1,41.2,,,,9.2,,32.8,87.77,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/09/2015,60,51.7,55,,,,,15.5,,80.7,87.34,Overcast
,"Dublin, L, IE","Dublin, L, IE",10/10/2015,58.2,51.4,53.9,,,,,9.2,,82.4,85.91,Overcast
,"Dublin, L, IE","Dublin, L, IE",10/11/2015,60.3,46.3,51,44.4,,,,4.2,,65.3,90.88,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/12/2015,54.8,39.8,48.5,40.6,,,,9.5,,37.1,84.49,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/13/2015,56.3,33.3,42.9,32.9,,,,8.1,,17.2,88.87,Clear
,"Dublin, L, IE","Dublin, L, IE",10/14/2015,56.3,38.6,48.6,36.2,,,,9.2,,50.3,81.71,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/15/2015,55.2,43.4,48.3,38.9,,,,8.5,,69,77.8,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/16/2015,53.9,37.3,44.9,35.5,,,,7.2,,45.5,93.22,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/17/2015,53.4,43.1,48.5,42.9,,,,8.8,,87.7,87.81,Overcast
,"Dublin, L, IE","Dublin, L, IE",10/18/2015,51.6,46.2,48.3,44.1,,,,6.8,,95,88.77,Overcast
,"Dublin, L, IE","Dublin, L, IE",10/19/2015,55.3,42.7,48.5,40.4,,,,7.7,,63.8,91.61,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/20/2015,54.5,43.3,49.1,39.7,,,,14,,64.2,95.05,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/21/2015,56.7,53.5,55.9,,,0.1,,20.3,,91.2,91.31,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",10/22/2015,54.8,49.5,52.1,45.6,,,,22,40.3,82.9,76.57,Overcast
,"Dublin, L, IE","Dublin, L, IE",10/23/2015,57.4,49.1,53.2,43.9,,,,17.5,,89,85.19,Overcast
,"Dublin, L, IE","Dublin, L, IE",10/24/2015,55.6,42,47.9,37.1,,0.5,,16.8,,46,84.11,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",10/25/2015,52.4,42,48,36.5,,,,18.5,,49.2,82.51,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/26/2015,57.4,51.3,54.4,,,0.2,,24.2,,86.7,87.81,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",10/27/2015,55.2,49.1,52.4,44.5,,0.1,,11.2,,68.2,92.19,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",10/28/2015,56.4,47.3,51.8,42.3,,,,17.5,,51.9,88.32,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",10/29/2015,54.9,45.3,50,41.2,,0.2,,20.8,,53.8,81.49,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",10/30/2015,60.2,49.2,55.2,44.9,,,,24.3,,83.1,88.58,Overcast
,"Dublin, L, IE","Dublin, L, IE",10/31/2015,59.1,41.5,53.6,39.3,,,,15.3,,55.5,83.47,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/01/2015,57.8,40.8,50.7,40.3,,,,10.3,,41.6,95.35,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/02/2015,58.9,48.4,53.6,45,,,,16.2,,42.7,90.97,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/03/2015,57,43.5,51.2,43.1,,,,11,,56,90.11,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/04/2015,54.9,42,47.1,43,,,,9.5,,51.3,92.24,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/05/2015,57.1,48.8,53.5,44.7,,0.4,,14.5,,87,93.96,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",11/06/2015,58.5,47.7,53.6,44.2,,,,22.3,,52.7,87.49,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/07/2015,54.5,47.3,50.7,43.1,,0.3,,14,,56.2,90.25,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/08/2015,59.1,43.5,50.6,39,,0.2,,25.8,40.3,57.5,86.71,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/09/2015,60.7,46.9,55.9,41.5,,0.4,,24.5,47,84.8,89.4,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",11/10/2015,60.2,54.1,58.1,,,0.2,,20.8,,88.4,91.75,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",11/11/2015,56,46.6,52.4,42.3,,0.6,,20,,54,87.77,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/12/2015,56.2,42,49.4,33.2,,0.1,,29.5,49.2,48.2,81.99,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/13/2015,46.6,38.8,42.4,29.3,,0.5,,20,42.5,52.6,84.17,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/14/2015,58.1,41.7,50.7,36.9,,0.5,,27.8,47,83.9,93.28,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",11/15/2015,59.5,50.5,57.5,,,0.4,,29.3,55.9,78.5,90.11,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",11/16/2015,49.4,42,44.9,36.3,,,,18.8,,69.3,87.23,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/17/2015,55.9,43.3,47.7,37.7,,0.1,,43.5,67.1,78.7,88.48,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",11/18/2015,53,46.9,50.5,41.7,,0.9,,25,42.5,62.1,84.8,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/19/2015,48.8,42.3,46.5,37.3,,,,18.8,,74.3,84.3,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/20/2015,45.5,35.2,40.3,26.6,,,,19.5,,45.9,83.83,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/21/2015,41.6,35.9,38.5,28,,,,20.3,,51,88.1,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/22/2015,46.6,34,40.2,29.2,,,,10.7,,34.5,89.94,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",11/23/2015,50.5,32.9,42.8,28.8,,0.1,,15,,76.6,95.16,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",11/24/2015,49.1,44.5,47.5,39.9,,,,19,,77.6,89.66,Overcast
,"Dublin, L, IE","Dublin, L, IE",11/25/2015,52,46.7,49.6,42.1,,0.1,,17.3,,62.2,90.78,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/26/2015,54.4,49.9,52.1,45.7,,,,11.8,,89.1,95.83,Overcast
,"Dublin, L, IE","Dublin, L, IE",11/27/2015,52,36.6,44.9,28.8,,0.1,,23,44.7,68.7,88.9,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/28/2015,47,38.7,43.9,31,,0.3,,29.3,44.7,67.5,86.54,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/29/2015,52.3,39.6,46.6,35,,0.6,,32.5,51.4,74.6,82.41,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",11/30/2015,54.1,41.6,46.9,36.3,,0.6,,29.5,42.5,83.2,94.87,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/01/2015,57.1,46.1,54.3,42.4,,0.1,,27.3,38,89.4,84,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/02/2015,54.5,42.6,49.2,39.3,,0.1,,28,42.5,77.6,86.47,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/03/2015,43,38,40.6,30.6,,0.7,,13.5,,77.3,92.64,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/04/2015,53.8,43,49.2,36.1,,,,29.8,44.7,61.1,84.38,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",12/05/2015,54.2,50.6,52.7,,,1.3,,30,51.4,79,91.33,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/06/2015,54.2,39.5,45.6,35.7,,0.2,,27.1,55.9,67.6,90.39,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/07/2015,56,44.8,54,37.8,,0.1,,27.4,45.7,77.7,87.44,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/08/2015,51.9,39,44.6,32.3,,0.3,,21.1,,22.9,80.93,"Rain, Clear"
,"Dublin, L, IE","Dublin, L, IE",12/09/2015,53.8,39.9,49.4,32.5,,0.1,,26.2,49.2,70.8,84.26,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/10/2015,47.3,39.8,43,32.7,,0.4,,17.7,,51.3,86.82,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/11/2015,45.9,39.1,41.3,32.1,,0.1,,17.3,,48.2,85.33,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/12/2015,49.2,34.7,38.9,29.8,,0.9,,15,,93,94.97,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/13/2015,50.2,34.8,43.3,30.4,,0.2,,14.7,,86,95.29,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/14/2015,51,48,49.8,43.7,,0.1,,16.8,,71.7,93.15,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/15/2015,54.5,48.8,51.2,43.4,,,,22.8,,84.3,92.31,Overcast
,"Dublin, L, IE","Dublin, L, IE",12/16/2015,57.3,52.3,54.9,,,0.3,,23.8,,85.5,91.99,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/17/2015,56,51.3,53.8,,,0.2,,23.8,,68.7,87.87,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/18/2015,57.4,50,54.2,46.2,,,,20.3,,83,88.86,Overcast
,"Dublin, L, IE","Dublin, L, IE",12/19/2015,58.5,47.2,54.3,43,,0.1,,23.5,,74.7,83.77,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/20/2015,48.3,41.9,45.9,36.5,,,,20.3,,46.7,85.24,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",12/21/2015,51.6,39.8,46.8,32.8,,0.1,,26,40.3,43.5,83.15,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/22/2015,57,42.7,48.9,34.4,,0.2,,26.5,49.2,58,85.06,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/23/2015,52.3,38.7,45.7,32,,0.2,,31.7,51.4,47.6,83.07,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/24/2015,46.3,35.1,40,26.9,,0.4,,24.3,55.9,45.8,87.26,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/25/2015,53.1,34.8,41,30,,0.5,,15.5,,77.5,92.91,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/26/2015,49.2,37.5,40.4,32,,0.4,,10,,76.6,97.67,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/27/2015,53.7,33.3,43.8,27.7,,,,23.5,,39.8,93.21,Partially cloudy
,"Dublin, L, IE","Dublin, L, IE",12/28/2015,55.6,46.2,51.7,41.3,,0.4,,30,44.7,79.7,85.68,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/29/2015,55.9,42.3,48.2,35.5,,0.3,,35,55.9,64.8,87.48,"Rain, Partially cloudy"
,"Dublin, L, IE","Dublin, L, IE",12/30/2015,55.6,39.8,45.4,32.7,,1,,29,53.7,80.2,86.99,"Rain, Overcast"
,"Dublin, L, IE","Dublin, L, IE",12/31/2015,41.8,32.2,37.9,26,,,,22.5,,46.8,87.96,Partially cloudy
